,DDTL,ANKRD61,DPP3,SGK2,SLC25A13,MPHOSPH9,PSMD14,CTDSPL,ABCA10,TACC3,RNASEH2A,IGF2BP3,GRAP,RPP40,STIP1,SLC27A3,KDELR3,TDRKH,FOXN3,POPDC1,CHEK2,CHRM1,CHRNA5,TLCD1,AP1S1,LARGE2,LRRK2,LRIG3,SPNS2,PODN,ARHGEF19,SLX4IP,COL4A6,COL17A1,ZNF572,CRY2,CRYAB,PARP1,CSF1,LAYN,CSF3,C2CD4A,UNC45B,SPC24,CAPN12,CILP2,CDC42EP5,CTF1,CTPS1,PROM2,CTSV,CYP3A7,NSUN5P1,ZNF567,DLG3,E2F1,E2F3,EBF1,SLC5A9,ELN,AK1,ADCK5,EPHA1,ETV5,FAM241B,SKA1,ZNF22-AS1,CPNE2,JAZF1,SEMA3D,FEN1,FGF11,VASH1,EPN2,EFR3B,EPB41L3,PASK,SYT11,BOP1,BICD2,FMOD,SYNE1,DOCK9,ZFPM2,TMED3,R3HDM1,RUSC1,FLRT3,FUT1,FYN,TINCR,SPDEF,GALE,PAMR1,TMIE,SOSTDC1,PCDHGA12,DECR2,ABCA12,GJA1,GJB2,GPC3,SESN1,GLI3,GNG4,C16orf54,TMEM105,GPR19,OLA1,EHD4,UBE2K,HLA-DRB1,HMBS,HPRT1,HSD11B1,ACADL,HTR3A,ICA1,ST8SIA6,ZNF260,ARSI,OVCH2,ARHGAP40,ARSH,ILF2,AQP4,INCENP,AR,KCNA5,MIA3,NRROS,ENTPD8,KLRD1,LINC02875,RGS9BP,VGLL3,STMN1,LDLR,LIFR,LIMK1,CCSER1,SMAD6,MBP,MCM2,MCM3,MEF2D,MLLT1,FOXO4,MMP1,MMP11,MMP13,MRC1,BCL2L15,MT1A,MT1M,MUC3A,MYH11,NFATC1,ATP1B1,NME2,NUCB1,NVL,ORC2,P2RY6,P4HB,PCNA,JPT1,PLCE1,HGH1,TBC1D7,ZNF107,KLF13,PPIL1,TPPP3,PMM2,CYTL1,PIMREG,NUP62CL,PARPBP,CDCA4,GOLPH3L,RBM41,MCM10,STAP2,INAVA,PBK,PRKG2,PCDHGA9,GSDMC,PRNP,ENTPD7,TMEM63C,PTPRH,CXCL16,PYGM,MID1IP1,RARA,RARRES2,PLEKHA2,BACH2,RNH1,PROK2,ANKEF1,MCCC2,SLC39A8,MROH6,GALNT17,SFTPD,SCG5,SH3GL2,SRGAP2B,TNS3,SPATS2,SLC6A4,SLPI,TARS1,TCF19,DYNLT2,TFAP4,NR2F2,TPBG,TRPC3,ZNF736,TYMS,UBE2E2,MANF,AUNIP,MMP28,SLC52A2,SRD5A3,IPO4,NAA40,NAA25,TMEM62,TRIM46,FRAS1,CCDC92,TET1,ARHGAP39,HM13,NECTIN4,CDT1,KIF18A,AXIN2,GLT8D2,PIP5K1B,GINS4,CASQ2,MGARP,CORO6,UBASH3B,ENC1,CEP295,FCN3,CDC14A,TCAP,RUNX1,HSD17B6,OASL,PDE5A,JRKL,CDKL1,SLC5A6,AP1S2,MVB12B,GLB1L2,SLC60A2,CABLES1,DSEL,GORAB,SLC38A5,REEP6,S1PR2,CD83,PRDM6,LEMD1,NHERF2,TTYH2,SFXN1,LY86,IER2,TRAF4,ULK2,ADAMTSL2,GPRIN2,GPRASP1,MRC2,CDC25A
solucion11,3,1,3,3,1,1,2,4,4,2,3,2,4,2,3,4,2,1,4,4,3,4,3,3,3,3,4,3,4,4,3,1,4,2,1,4,4,2,4,4,4,2,4,3,3,2,4,4,2,3,1,4,3,1,3,3,2,4,4,4,4,3,3,4,3,2,4,4,4,4,2,2,4,4,4,4,3,4,3,4,4,4,4,4,3,2,3,4,4,4,4,3,3,4,4,4,4,3,2,4,2,4,4,4,2,4,3,3,2,4,2,4,3,2,4,4,2,3,4,1,4,4,3,3,2,4,1,4,4,1,4,3,4,4,4,4,1,4,4,2,3,4,4,1,1,4,4,4,2,2,2,4,3,4,4,3,4,4,3,2,4,3,1,2,2,1,2,4,3,3,1,4,3,4,3,4,3,3,2,2,1,1,2,3,3,2,4,4,2,4,2,3,3,4,4,4,4,4,4,4,4,4,1,3,4,3,4,4,2,4,4,4,2,4,4,2,1,1,3,4,2,4,1,3,4,2,1,4,3,2,3,1,1,3,3,4,4,1,3,2,3,3,3,4,4,4,2,4,4,4,4,3,1,4,4,4,2,4,4,4,1,4,3,4,4,3,1,4,4,3,4,3,4,4,4,3,4,4,1,4,4,3,4,4,4,4,4,2
solucion12,2,2,3,2,3,3,3,1,1,3,3,3,4,3,3,4,3,2,1,1,3,1,3,3,3,2,1,2,4,4,2,2,1,3,2,1,4,3,1,1,1,3,1,3,2,3,4,1,3,2,3,1,2,2,2,3,3,1,1,4,4,2,2,1,2,3,1,1,1,1,3,3,1,1,1,1,2,1,3,1,4,1,1,1,3,3,2,1,1,4,1,2,3,4,1,1,1,2,3,1,3,1,1,1,3,1,2,3,3,4,3,1,3,3,4,1,3,2,1,2,4,1,2,3,3,1,2,1,1,2,1,2,1,1,1,1,3,1,1,3,3,1,1,3,3,1,4,1,3,3,2,1,3,1,1,3,4,1,3,3,1,2,2,3,3,3,3,1,3,3,3,4,3,1,3,4,3,2,3,3,2,2,3,3,2,3,1,1,3,1,3,2,3,1,4,1,1,4,1,1,1,1,2,3,1,3,1,1,3,1,1,1,3,1,1,3,3,2,2,1,3,1,2,3,1,3,3,1,3,3,3,2,2,3,3,1,4,2,2,3,2,3,3,4,4,1,3,1,1,1,1,2,2,1,1,1,3,1,1,1,2,1,3,1,1,2,2,1,1,2,4,3,4,1,1,3,1,4,3,1,4,2,1,4,1,1,4,3
solucion13,2,2,3,2,3,2,1,4,4,1,3,1,4,1,3,4,1,3,4,4,3,4,3,3,3,3,4,3,4,4,3,2,4,2,2,4,4,1,4,4,4,1,4,3,2,1,4,4,1,3,3,4,2,2,3,3,1,4,4,4,4,2,2,4,3,1,4,4,4,4,1,1,4,4,4,4,3,4,3,4,4,4,4,4,3,1,3,4,4,4,4,3,3,4,4,4,4,3,1,4,1,4,4,4,1,4,2,3,1,4,1,4,3,1,4,4,1,2,4,2,4,4,3,3,1,4,3,4,4,2,4,2,4,4,4,4,3,4,4,1,3,4,4,3,3,4,4,4,1,1,1,4,2,4,4,2,4,4,3,1,4,2,2,1,1,1,1,4,3,3,2,4,3,4,3,4,3,2,1,1,2,2,1,3,3,1,4,4,1,4,1,3,3,4,4,4,4,4,4,4,4,4,2,3,4,3,4,4,1,4,4,4,1,4,4,1,3,2,2,4,1,4,2,3,4,1,1,4,3,1,3,2,2,3,3,4,4,2,3,1,3,3,3,4,4,4,1,4,4,4,4,2,2,4,4,4,1,4,4,4,2,4,3,4,4,3,2,4,4,2,4,3,4,4,4,2,4,4,1,4,4,3,4,4,4,4,4,1
solucion14,1,1,2,1,2,1,2,4,4,2,2,2,4,2,2,4,2,1,3,4,2,4,2,1,1,1,4,1,4,3,1,1,4,1,1,4,4,2,4,4,4,2,4,2,1,2,4,4,2,1,2,4,1,1,1,2,2,4,4,4,4,1,1,4,1,2,4,4,3,3,2,2,4,4,4,3,1,3,2,4,3,4,4,3,2,2,1,4,4,4,4,1,1,4,4,4,3,1,2,3,2,4,4,3,2,4,1,2,2,4,2,4,2,2,3,4,2,1,4,1,4,4,1,1,2,4,1,4,4,1,4,1,4,4,4,3,2,4,4,2,1,4,3,2,2,4,4,4,2,2,2,4,1,4,4,1,4,3,1,2,4,1,1,2,2,2,2,4,1,2,1,4,2,4,2,4,2,1,2,2,1,1,2,1,1,2,4,4,2,4,2,1,2,4,4,4,4,4,3,3,4,3,1,1,4,1,4,4,2,4,4,4,2,4,4,2,2,1,1,4,2,4,1,2,4,2,2,4,2,2,2,1,1,1,2,4,4,1,1,2,1,2,2,4,3,4,2,4,4,4,4,1,1,4,4,4,2,4,4,4,1,4,1,3,4,1,1,4,4,1,4,1,3,4,4,1,4,4,2,4,4,2,4,4,4,4,4,2
solucion15,2,1,4,2,1,1,4,3,3,4,4,4,3,4,1,3,4,1,3,3,4,3,4,2,2,2,3,2,3,3,2,1,3,4,1,3,3,4,3,3,3,4,3,4,2,4,3,3,4,2,1,3,2,1,2,1,4,3,3,3,3,2,2,3,2,4,3,3,3,3,4,4,3,3,3,3,1,3,4,3,3,3,3,3,4,4,2,3,3,3,3,2,2,3,3,3,3,2,4,3,4,3,3,3,4,3,2,4,4,3,4,3,4,4,3,3,4,2,3,1,3,3,2,2,4,3,1,3,3,2,3,2,3,3,3,3,1,3,3,4,1,3,3,1,1,3,3,3,4,4,4,3,2,3,3,2,3,3,2,4,3,2,1,4,4,1,4,3,2,4,1,3,4,3,4,3,4,1,4,4,1,1,4,2,2,4,3,3,4,3,4,2,4,3,3,3,3,3,3,3,3,3,1,1,3,2,3,3,4,3,3,3,4,3,3,4,1,1,2,3,4,3,1,4,3,4,1,3,4,4,4,1,1,2,4,3,3,1,1,4,2,4,1,3,3,3,4,3,3,3,3,2,1,3,3,3,4,3,3,3,1,3,4,3,3,2,1,3,3,2,3,2,3,3,3,2,3,3,1,3,3,4,3,3,3,3,3,4
solucion16,2,2,4,2,4,2,4,1,1,4,4,4,1,4,4,3,4,2,1,1,4,1,4,2,2,2,3,2,1,1,2,2,1,2,2,1,1,4,1,1,1,4,1,4,2,4,1,1,4,2,4,1,2,2,2,4,4,1,1,1,1,2,2,3,2,4,1,1,3,1,4,4,1,1,1,1,2,1,4,1,1,1,1,1,4,4,2,3,1,1,1,2,2,3,1,1,1,2,4,1,4,1,3,1,4,1,2,4,4,1,4,1,4,4,1,3,4,2,1,2,1,1,2,2,4,3,2,1,1,2,1,2,1,1,1,1,4,1,1,4,2,1,1,4,4,1,1,1,4,4,4,3,2,1,1,2,1,1,2,4,1,2,2,4,4,4,4,1,2,4,2,3,4,1,4,1,4,2,4,4,2,2,4,2,2,4,1,1,4,1,4,2,4,1,1,1,1,1,1,1,1,1,2,2,1,2,1,3,4,1,1,1,4,1,1,4,4,2,2,1,4,1,2,4,1,4,4,1,4,4,4,2,2,2,4,1,1,2,2,4,2,4,4,3,1,3,4,1,1,1,1,2,2,1,1,1,4,3,1,1,2,3,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,4,1,1,4,1,1,1,1,1,4
solucion17,1,1,3,1,3,3,3,4,4,3,3,3,2,3,3,4,3,3,4,4,3,4,3,1,3,1,4,1,4,2,1,1,2,3,3,4,2,3,2,2,2,3,4,3,1,3,2,4,3,1,3,4,1,3,1,3,3,2,4,2,4,1,1,4,1,3,4,4,2,2,3,3,2,4,4,2,1,2,1,4,2,4,4,2,3,3,1,4,4,2,4,1,3,2,4,4,2,1,3,2,3,4,4,2,3,2,1,3,3,2,3,2,3,3,2,4,3,1,4,3,2,4,1,1,3,4,3,4,2,1,4,1,4,4,4,2,3,4,4,3,3,4,4,3,3,2,2,4,3,3,1,4,1,2,2,3,2,2,3,3,2,1,3,3,3,3,3,4,3,3,3,4,3,4,3,2,3,1,3,3,1,3,3,1,1,3,4,2,3,2,3,1,3,4,2,4,2,2,4,2,4,2,3,3,4,1,4,4,3,4,4,4,3,4,4,3,3,1,1,4,3,4,3,3,2,3,3,4,3,3,1,1,3,3,1,4,4,3,1,3,1,3,3,4,2,4,3,2,2,4,4,3,3,4,4,4,1,4,4,4,1,4,3,2,4,1,3,4,4,3,2,1,2,2,4,3,4,2,3,2,2,1,4,2,4,4,2,3
solucion18,2,2,3,2,3,3,3,1,1,3,3,3,4,3,3,1,3,2,4,1,3,1,3,2,3,2,1,2,1,4,2,2,4,2,2,1,4,3,4,4,1,3,1,3,2,3,4,1,3,2,3,1,2,2,2,3,3,4,1,4,1,2,2,1,2,3,1,1,4,4,3,3,4,1,1,4,2,4,2,1,4,1,1,4,2,3,2,1,1,1,1,2,2,4,1,1,4,2,3,4,3,1,1,4,3,4,2,3,3,4,3,4,2,3,1,1,3,2,1,3,4,1,2,2,3,1,3,1,4,2,1,2,1,1,1,1,3,1,1,3,2,1,1,3,3,4,4,1,2,2,3,1,2,4,4,2,4,4,2,3,4,2,2,3,3,3,3,1,2,3,2,1,3,1,3,4,3,2,3,3,2,2,3,2,2,3,1,4,3,4,3,2,3,1,4,1,4,4,1,1,4,4,2,3,1,2,1,1,3,1,1,1,3,1,1,3,3,2,2,1,3,1,2,3,4,3,3,1,3,2,3,2,3,2,2,1,1,2,2,3,2,3,3,1,4,1,3,4,4,1,1,2,2,1,1,1,3,1,1,1,2,1,2,4,1,2,3,1,1,2,4,2,4,4,1,2,1,4,3,4,4,2,1,4,1,1,4,3
solucion19,2,1,1,2,1,1,1,3,3,1,1,1,4,1,1,3,1,2,3,3,1,3,1,2,1,2,3,2,3,4,2,2,4,2,2,3,4,1,4,4,4,1,3,1,2,1,4,3,1,2,1,3,2,2,2,1,1,4,3,4,3,2,2,3,2,1,3,3,4,4,1,1,4,3,3,4,2,4,1,3,4,3,3,4,2,1,2,3,3,4,3,2,2,4,3,3,4,2,1,4,1,3,3,4,1,4,2,1,1,4,1,4,1,1,4,3,1,2,3,1,4,3,2,2,1,3,1,3,4,2,3,2,3,3,3,4,1,3,3,1,2,3,3,1,1,4,4,3,1,2,1,3,2,4,4,2,4,4,2,1,4,2,1,1,1,1,1,3,2,1,1,3,1,3,1,4,1,1,1,1,2,2,1,2,2,1,3,4,1,4,1,2,1,3,4,3,4,4,3,4,3,4,2,2,3,2,3,3,1,3,3,3,1,3,3,1,1,2,2,3,1,3,1,1,4,1,1,3,2,2,1,2,1,2,2,3,3,1,2,1,2,1,1,3,4,3,1,4,4,3,3,2,2,3,3,3,2,3,3,3,2,3,1,4,3,2,1,3,3,2,4,2,4,4,3,2,3,4,1,4,4,2,3,4,3,3,4,1
solucion20,3,1,2,3,1,1,2,4,4,2,2,2,4,2,1,4,2,1,4,4,2,4,2,3,3,3,4,3,4,4,3,1,4,2,1,4,4,2,4,4,4,2,4,2,3,2,4,4,2,3,1,4,3,1,3,1,2,4,4,4,4,3,3,4,3,2,4,4,4,4,2,2,4,4,4,4,1,4,2,4,4,4,4,4,2,2,3,4,4,4,4,3,3,4,4,4,4,3,2,4,2,4,4,4,2,4,3,2,2,4,2,4,2,2,4,4,2,3,4,1,4,4,3,3,2,4,1,4,4,3,4,3,4,4,4,4,1,4,4,2,1,4,4,1,1,4,4,4,2,2,2,4,3,4,4,3,4,4,3,2,4,3,1,2,2,1,2,4,3,2,1,4,2,4,2,4,2,1,2,2,1,1,2,3,3,2,4,4,2,4,2,3,2,4,4,4,4,4,4,4,4,4,1,1,4,3,4,4,2,4,4,4,2,4,4,2,1,1,3,4,2,4,1,2,4,2,1,4,2,2,2,1,1,3,2,4,4,1,1,2,3,2,1,4,4,4,2,4,4,4,4,3,1,4,4,4,2,4,4,4,1,4,2,4,4,3,1,4,4,3,4,3,4,4,4,3,4,4,1,4,4,2,4,4,4,4,4,2
solucion21,3,2,3,2,3,2,3,1,1,3,3,2,1,3,3,1,3,2,1,1,3,1,3,3,3,3,1,2,1,4,3,2,1,3,2,1,1,3,4,1,1,3,1,3,3,3,1,1,3,3,3,1,2,2,2,3,3,1,1,1,1,3,3,1,3,3,1,1,4,4,3,3,4,1,1,4,2,1,3,1,4,1,1,1,3,2,3,1,1,1,1,3,3,4,1,1,1,3,3,1,3,1,4,1,3,4,3,3,3,4,3,4,3,3,4,1,3,3,1,2,1,1,3,3,3,1,3,1,1,2,4,3,4,1,1,1,3,1,1,3,2,1,4,3,3,1,1,1,3,3,3,4,3,4,4,3,1,4,3,3,4,3,2,3,3,3,3,1,3,3,2,1,3,1,3,4,3,3,2,3,2,2,3,3,3,3,1,1,3,4,2,3,3,4,1,1,1,1,4,1,1,4,2,2,1,3,1,1,3,1,1,1,2,1,1,3,3,2,3,1,3,1,2,3,4,3,3,1,3,3,3,2,2,3,3,1,1,2,3,3,3,3,2,1,4,1,3,1,1,1,1,2,2,1,1,1,3,1,4,1,2,1,3,4,1,3,2,1,1,2,1,3,1,4,1,3,1,4,2,4,1,3,1,1,1,1,4,3
solucion22,2,2,3,2,3,2,1,4,2,1,3,1,1,1,3,4,1,4,1,1,3,2,3,3,3,3,4,4,4,1,3,2,1,2,2,4,1,1,1,1,1,1,2,3,2,1,1,4,1,3,3,4,2,2,3,3,1,1,4,1,4,2,2,4,3,1,2,4,1,1,1,1,1,4,4,1,3,1,3,1,1,2,4,1,3,1,3,4,3,1,4,3,3,1,2,2,1,3,1,1,1,4,2,1,1,1,4,3,1,1,1,1,3,1,1,4,1,4,4,2,1,2,3,3,1,4,3,4,1,2,1,2,2,2,4,1,3,3,4,1,3,4,1,3,3,1,4,4,1,1,1,4,4,1,1,4,1,1,4,1,1,2,2,1,1,1,1,4,3,3,2,4,3,2,3,1,3,2,1,1,4,2,1,3,3,1,4,1,1,1,1,4,3,4,1,4,1,1,1,1,1,1,2,3,4,3,4,4,1,2,1,1,1,4,4,1,3,2,2,2,1,2,2,3,1,1,1,4,3,1,3,2,2,4,3,4,4,2,3,1,3,3,3,4,1,4,1,1,1,2,1,4,2,2,2,2,1,4,1,2,2,2,3,1,4,3,2,4,1,2,1,3,1,1,4,4,4,1,1,1,3,3,4,1,4,2,1,1
solucion23,2,1,4,2,1,1,4,3,3,4,4,4,3,4,1,3,4,1,3,3,4,3,4,2,2,2,3,2,3,3,2,1,3,4,1,3,3,4,3,3,3,4,3,4,2,4,3,3,4,2,1,3,2,1,2,1,4,3,3,3,3,2,2,3,2,4,3,3,3,3,4,4,3,3,3,3,1,3,4,3,3,3,3,3,4,4,2,3,3,3,3,2,2,3,3,3,3,2,4,3,4,3,3,3,4,3,2,4,4,3,4,3,4,4,3,3,4,2,3,1,3,3,2,2,4,3,1,3,3,2,3,2,3,3,3,3,1,3,3,4,1,3,3,1,1,3,3,3,4,4,4,3,2,3,3,2,3,3,2,4,3,2,1,4,4,1,4,3,2,4,1,3,4,3,4,3,4,1,4,4,1,1,4,2,2,4,3,3,4,3,4,2,4,3,3,3,3,3,3,3,3,3,1,1,3,2,3,3,4,3,3,3,4,3,3,4,1,1,2,3,4,3,1,4,3,4,1,3,4,4,4,1,1,2,4,3,3,1,1,4,2,4,1,3,3,3,4,3,3,3,3,2,1,3,3,3,4,3,3,3,1,3,4,3,3,2,1,3,3,2,3,2,3,3,3,2,3,3,1,3,3,4,3,3,3,3,3,4
solucion24,2,1,4,2,1,1,4,3,3,4,4,4,3,4,1,3,4,1,3,3,4,3,4,2,2,2,3,2,3,3,2,1,3,4,1,3,3,4,3,3,3,4,3,4,2,4,3,3,4,2,1,3,2,1,2,1,4,3,3,3,3,2,2,3,2,4,3,3,3,3,4,4,3,3,3,3,1,3,4,3,3,3,3,3,4,4,2,3,3,3,3,2,2,3,3,3,3,2,4,3,4,3,3,3,4,3,2,4,4,3,4,3,4,4,3,3,4,2,3,1,3,3,2,2,4,3,1,3,3,2,3,2,3,3,3,3,1,3,3,4,1,3,3,1,1,3,3,3,4,4,4,3,2,3,3,2,3,3,2,4,3,2,1,4,4,1,4,3,2,4,1,3,4,3,4,3,4,1,4,4,1,1,4,2,2,4,3,3,4,3,4,2,4,3,3,3,3,3,3,3,3,3,1,1,3,2,3,3,4,3,3,3,4,3,3,4,1,1,2,3,4,3,1,4,3,4,1,3,4,4,4,1,1,2,4,3,3,1,1,4,2,4,1,3,3,3,4,3,3,3,3,2,1,3,3,3,4,3,3,3,1,3,4,3,3,2,1,3,3,2,3,2,3,3,3,2,3,3,1,3,3,4,3,3,3,3,3,4
solucion25,2,1,4,2,1,1,4,3,3,4,4,4,3,4,1,3,4,1,3,3,4,3,4,2,2,2,3,2,3,3,2,1,3,4,1,3,3,4,3,3,3,4,3,4,2,4,3,3,4,2,1,3,2,1,2,1,4,3,3,3,3,2,2,3,2,4,3,3,3,3,4,4,3,3,3,3,1,3,4,3,3,3,3,3,4,4,2,3,3,3,3,2,2,3,3,3,3,2,4,3,4,3,3,3,4,3,2,4,4,3,4,3,4,4,3,3,4,2,3,1,3,3,2,2,4,3,1,3,3,2,3,2,3,3,3,3,1,3,3,4,1,3,3,1,1,3,3,3,4,4,4,3,2,3,3,2,3,3,2,4,3,2,1,4,4,1,4,3,2,4,1,3,4,3,4,3,4,1,4,4,1,1,4,2,2,4,3,3,4,3,4,2,4,3,3,3,3,3,3,3,3,3,1,1,3,2,3,3,4,3,3,3,4,3,3,4,1,1,2,3,4,3,1,4,3,4,1,3,4,4,4,1,1,2,4,3,3,1,1,4,2,4,1,3,3,3,4,3,3,3,3,2,1,3,3,3,4,3,3,3,1,3,4,3,3,2,1,3,3,2,3,2,3,3,3,2,3,3,1,3,3,4,3,3,3,3,3,4
solucion26,3,2,3,2,3,2,3,1,4,3,3,2,4,3,3,1,3,2,1,1,3,1,3,3,3,3,1,2,1,4,3,2,4,3,2,4,4,3,4,4,4,3,4,3,3,3,4,1,3,3,3,1,2,2,2,3,3,4,1,4,1,3,3,1,3,3,1,1,4,4,3,3,4,1,1,1,2,4,3,1,4,1,1,4,3,2,3,1,1,4,1,3,3,4,1,1,4,3,3,4,3,1,1,4,3,4,3,3,3,4,3,4,3,3,4,1,3,3,1,2,4,1,3,3,3,1,3,1,4,2,4,3,1,1,1,4,3,4,1,3,2,1,1,3,3,4,4,1,3,3,3,4,3,4,4,3,4,4,3,3,4,3,2,3,3,3,3,1,3,3,2,4,3,1,3,4,3,3,2,3,2,2,3,3,3,3,1,4,3,4,2,3,3,4,4,1,4,4,4,4,1,4,2,2,1,3,4,1,3,1,1,1,2,1,1,3,3,2,3,4,3,1,2,3,4,3,3,1,3,3,3,2,2,3,3,1,4,2,3,3,3,3,2,1,4,1,3,4,4,1,1,2,2,1,1,1,3,1,1,1,2,1,3,4,1,3,2,1,4,2,4,3,4,4,4,3,1,4,2,4,4,3,1,4,1,4,4,3
solucion27,2,1,1,2,1,1,1,4,4,1,1,1,3,1,1,4,1,2,3,3,1,4,1,2,1,2,4,2,4,3,2,2,3,2,2,3,3,1,3,3,3,1,3,1,2,1,3,4,1,2,1,4,2,2,2,1,1,3,4,3,4,2,2,4,2,1,4,4,3,3,1,1,3,4,4,3,2,3,1,3,3,4,4,3,2,1,2,4,4,3,4,2,2,3,4,4,3,2,1,3,1,3,4,3,1,3,2,1,1,3,1,3,1,1,3,4,1,2,4,1,3,4,2,2,1,4,1,4,3,2,3,2,4,4,4,3,1,4,4,1,2,4,4,1,1,3,3,4,1,2,1,4,2,3,3,2,3,3,2,1,3,2,1,1,1,1,1,4,2,1,1,4,1,4,1,3,1,1,1,1,2,2,1,2,2,1,4,3,1,3,1,2,1,3,3,4,3,3,3,3,3,3,2,2,4,2,3,4,1,4,4,3,1,4,4,1,1,2,2,3,1,4,1,1,3,1,1,4,2,2,1,2,1,2,2,4,4,1,2,1,2,1,1,4,3,4,1,3,3,4,4,2,2,4,4,4,2,4,4,4,2,4,1,3,4,2,1,4,3,2,3,2,3,3,3,2,4,3,1,3,3,2,4,3,4,4,3,1
solucion28,2,2,1,2,1,1,1,4,4,1,1,1,3,1,1,4,1,1,3,4,1,4,1,2,1,2,4,2,4,3,2,2,3,2,2,4,3,1,3,3,3,1,4,1,2,1,3,4,1,2,1,4,2,2,2,1,1,3,4,3,4,2,2,4,2,1,4,4,3,3,1,1,3,4,4,3,2,3,1,3,3,4,4,3,1,1,2,4,4,3,4,2,2,3,4,4,3,2,1,3,1,4,4,3,1,3,2,1,1,3,1,3,1,1,3,4,1,2,4,1,3,4,2,1,1,4,1,4,3,2,4,2,4,4,4,3,1,4,4,1,1,4,4,1,1,3,4,4,1,1,2,4,2,3,3,2,3,3,1,1,3,2,2,1,1,1,1,4,2,1,2,4,1,4,1,3,1,2,1,1,2,2,1,2,2,1,4,3,1,3,1,2,1,4,3,4,3,3,3,3,4,3,2,1,4,2,3,4,1,4,4,4,1,4,4,1,1,2,2,4,1,4,2,1,3,1,1,4,1,1,1,2,1,2,2,4,4,2,2,1,2,1,1,4,3,4,1,3,3,4,4,2,2,4,4,4,1,4,4,4,2,4,2,3,4,2,2,4,3,2,3,2,3,3,4,2,4,3,1,3,3,2,4,3,4,4,3,1
solucion29,2,2,3,2,3,3,3,1,1,3,3,3,4,3,3,1,3,2,4,1,3,1,3,2,3,2,1,2,1,4,2,2,4,2,3,1,4,3,4,4,1,2,1,3,2,2,4,1,3,2,3,1,2,2,2,3,3,4,1,4,1,2,2,1,2,3,1,1,4,4,3,2,4,1,1,4,2,4,3,1,4,1,1,4,3,3,2,1,1,1,1,2,2,4,1,1,4,2,2,4,3,1,1,4,3,4,2,3,3,4,3,4,3,3,1,1,2,2,1,3,4,1,2,2,3,1,3,1,4,2,1,2,1,1,1,1,3,1,1,3,2,1,1,3,3,4,4,1,2,2,2,1,2,4,4,2,4,4,2,3,4,2,3,2,3,3,3,1,3,3,3,1,3,1,3,4,3,2,3,3,2,3,3,2,2,3,1,4,2,4,3,2,3,1,4,1,4,4,1,1,4,4,3,2,1,2,1,1,3,1,1,1,3,1,1,3,3,2,3,1,2,1,3,3,4,3,3,1,3,2,3,2,2,2,2,1,1,2,2,3,2,3,3,1,4,1,3,4,4,1,1,2,2,1,1,1,2,1,1,1,2,1,2,4,1,2,3,1,1,2,4,2,4,4,1,2,1,4,3,4,4,2,1,4,1,1,4,3
solucion30,3,2,3,2,3,2,3,1,4,3,3,2,1,3,3,4,3,2,1,1,3,1,3,3,3,3,4,2,4,1,3,2,1,3,2,4,1,3,1,1,1,3,1,3,3,3,1,4,3,3,3,1,2,2,2,3,3,1,4,4,4,3,3,1,3,3,1,4,1,1,3,3,1,1,4,1,2,1,3,1,1,1,1,1,3,2,3,1,1,1,1,3,3,1,1,1,1,3,3,1,3,1,1,1,3,1,3,3,3,1,3,1,3,3,1,4,3,3,1,2,1,1,3,3,3,1,3,1,4,2,1,3,1,4,1,1,3,1,1,3,2,1,1,3,3,1,4,1,3,3,3,1,3,1,1,3,4,1,3,3,1,3,2,3,3,3,3,1,3,3,2,4,3,4,3,1,3,3,2,3,2,2,3,3,3,3,1,1,3,1,2,3,3,1,1,4,1,1,1,1,4,1,2,2,1,3,1,4,3,1,1,1,2,1,4,3,3,2,3,1,3,1,2,3,1,3,3,4,3,3,3,2,2,3,3,1,4,2,3,3,3,3,2,4,1,1,3,1,1,1,1,2,2,1,1,4,3,4,1,1,2,1,3,1,1,3,2,4,1,2,1,3,1,1,1,3,4,1,2,1,1,3,1,4,4,1,1,3
