,ICA1,SLC25A13,FYN,MRC2,TACC3,SLC38A5,RNH1,HSD17B6,R3HDM1,ELN,MPHOSPH9,FOXN3,PRDM6,NHERF2,MCM10,COL17A1,PYGM,VASH1,EPN2,MCM2,TRAF4,UBE2K,CDC14A,PTPRH,SESN1,EPB41L3,DLG3,ULK2,EFR3B,FER1L4,DOCK9,RBM41,TFAP4,MMP11,DDTL,KDELR3,CDKL1,SGK2,HM13,E2F1,EHD4,NUCB1,RNASEH2A,AP1S1,RARRES2,GLI3,LIMK1,AK1,PIP5K1B,SH3GL2,CSF3,SLC6A4,CRYAB,NAA40,NAA25,MCM3,CD83,BACH2,E2F3,POPDC1,LY86,TARS1,LIFR,PSMD14,REEP6,ACADL,PASK,ORC2,MEF2D,GALE,HSD11B1,STMN1,SLC5A9,CASQ2,CCDC92,GORAB,GLT8D2,KIF18A,CRY2,FMOD,SPATS2,SLPI,ARHGAP40,SPDEF,RPP40,FLRT3,AUNIP,SRD5A3,PIMREG,KCNA5,LDLR,MLLT1,SYNE1,NFATC1,RARA,MCCC2,ANKEF1,PCNA,SYT11,MYH11,SFTPD,CABLES1,KLRD1,OASL,TNS3,IGF2BP3,CTSV,PPIL1,TCF19,MGARP,MMP13,SMAD6,TMEM62,SLC5A6,PLCE1,TET1,OLA1,PRKG2,PDE5A,TRPC3,FRAS1,SLC39A8,LRIG3,PMM2,CPNE2,UNC45B,TTYH2,ARHGEF19,FCN3,ATP1B1,NECTIN4,GOLPH3L,SLC27A3,ILF2,NVL,PARP1,ABCA12,CTDSPL,MANF,TBC1D7,TPBG,EPHA1,GPC3,GINS4,GSDMC,ARHGAP39,ST8SIA6,PAMR1,GLB1L2,SLX4IP,INCENP,CTF1,GJA1,URS00000CE06B_9606,JAZF1,SEMA3D,GRAP,UBASH3B,ABCA10,MIA3,SKA1,PROM2,ANKRD61,RUNX1,TPPP3,CILP2,TLCD1,RUSC1,CYP3A7,IER2,SPC24,CXCL16,FGF11,INAVA,PROK2,TRIM46,CDC25A,EBF1,SFXN1,MID1IP1,GJB2,ZNF22-AS1,TMEM63C,HPRT1,LARGE2,CEP295,TMED3,HTR3A,SCG5,CDT1,CORO6,CDC42EP5,PBK,GNG4,STIP1,FEN1,CHRM1,AXIN2,AR,PLEKHA2,CHRNA5,MUC3A,KLF13,ZFPM2,CDCA4,CYTL1,EEF2KMT,FAM241B,SOSTDC1,DSEL,ENC1,P2RY6,CTPS1,PRNP,AQP4,SRGAP2C,ADCK5,SLC60A2,TCAP,NRROS,PODN,FUT1,MARCKSL1,TYMS,NINJ2,STAP2,ZNF572,TMIE,TDRKH,UBE2E2,AP1S2,CAPN12,SPNS2,GPR19,JRKL,OVCH2,CHEK2,ARSI,CCSER1,CSF1,FOXO4,DYNLT2,GALNT17,TMEM105,PARPBP,NR2F2,P4HB,SLC52A2,C16orf54,BICD2,LEMD1,RGS9BP,LINC02875,ZBED6,BCL2L15,ENTPD8,LRRK2,ZNF567,JPT1,HLA-DRB1,ZNF107,IPO4,MMP1,MVB12B,COL4A6,ADAMTSL2,MBP,ENTPD7,NUP62CL,C2CD4A,GPRASP1,GPRIN2,LAYN,POLR1H,MROH6,MT1A,MT1M,ARSH,VGLL3,EDEM3,URS0000D5A5D2_9606,MMP21,TINCR,NSUN5P1,PARK7,SNX10,CCNL2,PDRG1,KMT2C,FEZF1,LIMS4,DCST1,BMP6,LRRC73,TSNAX,CTCFL,ZNF736,HGH1,LRRFIP1,RPAIN,DECR2,NME2,DPPA2,RNF32-DT,ETV5,ALX4,CD180,ANKRD20A1,PCDHGA12,ZNF260,ATP5PB,DPP3,il17a-il17f-il17ra-il17rc-traf3ip2_human,MTBP,HMBS,URS0000373E05_9606,IRF2BPL,URS000003ABC4_9606,TJP1,MRC1,GABBR1,SLC2A13,EGR3,FSIP2,BOP1,PCDHGA9,PARN,ZNF75A,NACA2,S1PR2,URS0002218A4A_9606,C19orf44,MSRA,ACTRT3,UPP2,URS0000D58CB9_9606,MMP28,UBR5,KLHDC7B,WDR27,UQCRC2,SIK1,BCL9,NME2P1,ANKRD17,RPGR,CHERP,KCTD13,SIAH1,UBE2M,PSME3IP1
solucion11,4,4,2,1,3,2,2,2,4,2,4,1,1,2,4,3,2,1,2,4,3,4,2,3,2,1,4,2,2,3,2,4,3,3,3,4,2,3,3,4,2,2,4,4,2,1,4,2,2,2,2,2,2,3,4,4,2,1,4,2,2,4,2,4,3,2,3,4,2,4,2,4,2,2,2,3,1,4,2,1,3,2,3,3,4,2,4,4,4,2,2,2,2,2,2,4,4,4,1,2,2,2,2,2,1,4,4,4,4,2,4,2,3,3,2,4,4,2,2,2,2,2,4,4,2,2,1,4,2,4,4,4,2,4,3,4,4,2,3,4,4,3,2,4,4,3,2,1,3,3,4,2,1,3,2,2,2,2,2,4,4,3,4,4,2,3,4,4,2,2,3,2,3,3,2,3,4,2,4,2,4,2,4,4,3,3,3,3,4,4,2,2,4,4,4,4,2,2,2,1,4,4,2,1,4,2,4,3,2,1,3,3,4,1,2,2,3,4,2,1,2,2,2,4,2,3,4,2,4,2,1,3,2,3,4,2,3,1,4,2,2,4,2,4,4,1,4,3,2,1,4,2,2,3,3,3,2,4,3,2,4,3,3,2,2,2,1,4,3,4,2,2,1,4,3,2,2,4,1,3,2,2,2,3,2,2,4,2,4,4,4,3,2,2,3,3,4,4,4,3,3,3,2,3,2,2,2,2,1,4,1,4,2,2,3,2,2,2,2,2,2,2,2,3,3,1,2,3,1,2,2,3,2,4,3,3,2,4,3,2,3,2,4,4,2,2,3,4,4,3,4
solucion12,1,1,2,2,1,4,3,3,1,3,1,3,3,2,1,1,3,2,3,1,1,1,2,1,4,2,1,3,2,1,2,1,1,1,1,1,2,1,1,1,3,3,1,1,2,2,1,2,4,2,3,2,2,1,1,1,3,2,1,2,2,1,2,1,1,2,1,1,3,1,2,1,2,3,3,1,3,1,3,3,1,2,1,1,1,4,1,1,1,3,2,3,3,3,3,1,1,1,2,3,2,3,2,2,2,1,1,1,1,3,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,3,3,1,2,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,2,3,1,1,1,3,2,1,3,2,2,2,4,1,1,1,1,1,3,1,1,1,2,2,1,3,1,1,2,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,4,3,2,1,1,2,3,1,3,1,1,2,3,1,1,1,2,2,2,1,1,2,2,3,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,3,2,1,3,1,1,4,1,1,3,2,1,2,2,1,1,1,4,1,1,3,1,1,1,3,3,3,2,1,1,1,3,2,2,1,1,3,3,1,2,1,3,3,2,1,4,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,4,3,2,2,3,1,2,1,2,3,1,2,2,3,2,2,2,4,3,1,1,3,2,1,2,3,2,1,2,1,1,1,2,1,1,3,1,3,1,1,2,2,1,1,1,1,1
solucion13,3,1,2,4,1,2,2,4,1,4,1,2,2,2,1,1,4,2,4,1,3,1,2,1,2,2,1,2,2,1,2,1,3,1,3,1,2,3,1,1,2,2,1,1,4,2,1,4,4,4,4,2,4,3,1,1,2,2,1,4,2,1,2,1,3,2,3,1,4,3,2,1,2,2,4,3,4,1,4,4,1,2,3,3,1,4,1,3,1,4,4,4,4,4,4,1,1,1,2,4,2,4,2,2,2,1,1,1,1,4,1,2,3,1,4,1,1,4,2,2,4,2,3,1,2,2,2,3,2,3,3,3,4,1,3,1,1,4,1,1,1,3,4,1,1,3,2,4,3,3,1,4,4,3,4,4,2,2,4,3,1,3,1,1,4,1,3,3,4,4,1,2,1,3,2,3,1,2,1,4,1,2,1,1,3,1,3,1,1,1,2,2,1,1,1,1,2,4,4,2,1,3,4,4,1,2,3,1,2,4,3,1,1,4,2,2,3,1,4,2,4,2,2,1,2,3,1,4,1,2,2,3,2,1,3,2,1,4,1,2,2,3,2,3,1,2,1,1,2,2,3,2,2,1,1,3,2,1,1,2,1,1,1,4,4,4,2,1,1,1,4,2,4,3,3,4,4,3,2,3,4,4,2,3,4,2,3,2,3,3,3,3,4,2,1,3,1,3,1,3,3,1,2,3,4,4,2,2,4,1,2,1,4,4,1,2,4,2,2,2,4,2,4,3,1,2,2,3,2,4,2,3,2,3,3,3,2,1,1,4,3,4,1,1,2,2,3,3,3,3,1
solucion14,1,1,2,2,1,2,2,4,1,3,1,4,3,2,1,1,3,2,4,1,1,1,4,1,4,2,1,4,2,1,4,1,1,1,1,1,4,1,1,1,3,2,1,1,2,4,1,2,2,2,4,4,3,1,1,1,4,4,1,2,4,1,4,1,1,4,1,1,4,1,4,1,2,3,2,1,3,1,3,3,1,4,1,1,1,4,1,1,1,3,4,3,3,4,3,1,1,1,4,3,4,4,4,2,2,1,1,1,1,3,1,2,1,1,4,1,1,4,4,2,4,4,1,1,2,3,3,1,2,1,1,1,3,1,1,1,1,4,1,1,1,1,3,1,1,1,4,3,1,1,1,3,4,1,4,4,2,4,3,1,1,1,1,1,3,1,1,1,4,2,1,4,1,1,4,1,1,3,1,2,1,4,1,1,1,1,1,1,1,1,4,2,1,1,1,1,4,2,3,4,1,1,2,3,1,3,1,1,4,4,1,1,1,4,4,4,1,1,2,2,3,2,4,1,2,1,1,2,1,4,4,1,4,1,1,4,1,2,1,2,4,1,4,1,1,2,1,1,3,4,1,2,3,1,1,1,4,1,1,3,1,1,1,2,3,3,4,1,1,1,3,2,3,1,1,4,3,1,4,1,3,3,4,1,4,2,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,4,1,4,4,4,4,4,1,4,1,3,4,1,2,4,2,2,4,2,4,4,1,1,4,4,1,4,3,2,1,4,1,1,1,4,1,1,3,1,3,1,1,4,4,1,1,1,1,1
solucion15,1,1,4,4,1,4,3,2,1,2,1,2,2,3,1,1,3,4,3,1,1,1,2,1,2,4,1,2,3,1,2,1,1,1,1,1,2,1,1,1,4,3,1,1,4,4,1,2,2,2,4,3,4,1,1,1,4,4,1,3,4,1,2,1,1,2,1,1,4,1,4,1,2,3,3,1,4,1,2,4,1,2,1,1,1,2,1,1,1,4,2,3,2,4,3,1,1,1,4,4,2,3,4,4,4,1,1,1,1,2,1,3,1,1,2,1,1,2,2,3,2,2,1,1,3,2,4,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,4,1,1,1,3,4,1,4,4,4,4,2,1,1,1,1,1,2,1,1,1,2,3,1,2,1,1,4,1,1,4,1,2,1,3,1,1,1,1,1,1,1,1,4,4,1,1,1,1,3,2,2,4,1,1,2,4,1,4,1,1,2,2,1,1,1,4,2,2,1,1,3,4,4,3,2,1,3,1,1,3,1,4,4,1,3,1,1,2,1,4,1,4,2,1,4,1,1,2,1,1,4,4,1,2,3,1,1,1,2,1,1,4,1,1,1,2,4,4,2,1,1,1,4,2,4,1,1,4,4,1,4,1,2,4,3,1,2,3,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,2,4,2,2,4,1,2,1,2,2,1,2,3,2,2,2,3,2,4,1,1,4,2,1,3,4,3,1,2,1,1,1,2,1,1,3,1,3,1,1,3,2,1,1,1,1,1
solucion16,3,1,2,2,1,2,2,4,1,2,3,2,4,4,1,1,2,2,4,1,1,1,2,1,2,2,3,4,4,1,4,3,3,1,3,1,4,3,1,1,2,2,1,1,2,2,1,4,4,4,2,4,2,3,3,3,2,2,1,2,2,1,4,1,3,4,3,3,2,3,2,1,4,4,4,3,2,3,4,2,1,4,3,3,1,4,1,1,1,4,4,4,4,2,2,3,3,3,2,4,4,4,2,2,2,1,3,1,1,2,1,4,3,1,4,3,1,4,4,2,4,4,3,1,4,4,2,3,4,3,3,3,4,1,3,1,1,4,1,1,1,3,2,1,1,3,4,2,3,3,3,4,2,3,2,2,2,2,4,3,1,3,3,1,4,1,3,1,4,4,1,4,1,3,2,1,1,2,1,4,1,2,3,1,3,3,1,1,1,1,2,2,1,1,1,1,4,4,2,2,1,3,2,2,1,2,3,1,4,2,1,1,1,2,4,2,3,3,4,2,2,4,4,1,4,1,3,4,3,2,2,3,4,3,3,4,1,2,3,2,2,3,4,3,1,4,1,1,2,2,3,4,4,3,3,3,4,3,1,2,3,1,1,2,2,4,2,1,3,1,4,4,2,3,1,2,2,3,2,3,2,2,2,3,4,4,3,4,3,3,3,3,4,4,1,3,3,3,3,3,3,1,2,3,4,2,4,4,2,3,4,1,4,2,1,4,4,4,4,2,4,4,2,3,1,2,4,1,4,2,4,3,4,3,3,3,4,3,1,2,3,2,3,3,4,4,3,3,3,3,3
solucion17,2,2,3,3,1,3,3,3,1,3,1,3,3,3,1,1,3,3,3,2,2,1,3,1,3,3,2,3,3,2,3,2,2,1,2,1,3,2,2,2,3,3,2,1,3,3,1,3,3,3,3,3,3,1,2,2,3,3,2,3,3,2,3,1,2,3,2,2,3,2,3,1,3,3,3,2,3,1,3,3,2,3,2,1,1,3,2,1,1,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,1,2,1,1,3,1,3,2,2,3,2,1,3,3,3,3,3,2,2,3,3,3,2,3,2,2,2,3,2,2,2,1,3,2,1,1,2,3,2,1,2,3,3,2,2,1,3,3,2,3,3,3,3,3,2,1,1,2,2,3,2,2,1,3,3,1,3,1,2,3,1,2,3,2,3,1,3,2,2,2,2,1,1,2,1,3,3,1,4,2,2,3,3,3,3,1,2,3,3,1,3,2,1,3,3,2,1,2,3,3,3,2,2,3,3,3,3,3,2,3,2,2,3,1,3,3,1,3,2,1,3,2,3,2,3,3,2,3,2,2,3,1,1,3,3,2,3,3,1,1,2,3,1,1,3,1,2,2,3,3,3,3,1,2,1,3,3,3,2,1,3,3,2,3,1,3,3,3,2,3,3,2,3,2,1,2,2,3,3,1,2,1,2,2,2,2,1,3,1,3,3,3,3,3,1,3,1,3,3,1,3,3,3,3,3,3,3,3,1,2,3,3,2,3,3,3,2,3,1,1,2,3,2,1,3,2,3,2,2,3,3,2,2,2,2,2
solucion18,4,1,2,2,1,2,2,2,3,2,1,2,2,2,1,4,2,2,2,1,4,1,2,3,2,2,4,2,2,3,2,4,4,4,4,4,2,4,4,1,2,2,1,4,2,2,1,2,2,2,2,2,2,4,4,1,2,2,3,2,2,1,2,3,4,2,1,4,2,4,2,1,2,2,2,4,2,1,2,2,3,2,4,4,1,2,1,4,1,2,2,2,2,2,2,4,4,1,2,2,2,2,2,2,2,1,1,1,1,2,4,2,4,4,2,3,3,2,2,2,2,2,4,4,2,2,2,4,2,4,4,4,2,1,4,3,1,2,4,1,4,4,2,1,4,1,2,2,4,4,1,2,2,4,2,2,2,2,2,4,1,4,1,4,2,4,4,1,2,2,1,2,3,4,2,4,1,2,3,2,3,2,4,1,4,4,4,1,4,1,2,2,1,3,1,1,2,2,2,2,1,4,2,2,1,2,4,4,2,2,4,3,1,2,2,2,4,3,2,2,2,2,2,1,2,4,4,2,4,2,2,4,2,3,4,2,1,2,4,2,2,4,2,4,1,2,4,4,2,2,4,2,2,1,4,4,2,4,1,2,4,4,3,2,2,2,2,3,4,4,2,2,2,4,4,2,2,4,2,4,2,2,2,4,2,2,4,2,4,4,4,4,2,2,4,4,1,4,4,4,4,4,2,4,2,2,2,2,2,4,2,4,2,2,4,2,2,2,2,2,2,2,2,4,1,2,2,4,2,2,2,4,2,4,4,4,2,4,4,2,4,2,1,4,2,2,4,4,4,4,4
solucion19,4,4,3,2,4,3,2,2,4,2,4,3,1,1,4,4,2,3,2,4,4,4,1,4,1,3,4,2,2,4,2,4,4,4,4,4,1,4,4,4,3,3,4,4,2,3,4,2,1,2,3,1,2,4,4,4,3,2,4,3,3,4,2,4,4,1,4,4,2,4,3,4,1,2,2,4,3,4,2,3,4,2,4,4,4,1,4,4,4,2,3,2,2,3,3,4,4,4,3,2,1,2,3,3,3,4,4,4,4,2,4,1,4,4,1,4,4,1,1,1,1,2,4,4,2,1,3,4,1,4,4,4,2,4,4,4,4,1,4,4,4,4,2,4,4,4,1,2,4,4,4,2,3,4,3,3,3,3,1,4,4,4,4,4,2,4,4,4,1,2,4,3,4,4,3,4,4,3,4,2,4,1,4,4,4,4,4,4,4,4,1,3,4,4,4,4,1,1,1,3,4,4,3,2,4,3,4,4,1,2,4,4,4,3,1,2,4,4,1,3,2,1,1,4,2,4,4,2,4,3,3,4,1,4,4,1,4,2,4,3,2,4,2,4,4,1,4,4,3,3,4,2,2,4,4,4,1,4,4,3,4,4,4,2,2,1,3,4,4,4,2,1,3,4,4,2,2,4,2,4,2,2,2,4,2,1,4,1,4,4,4,4,1,1,4,4,4,4,4,4,4,4,2,4,2,2,1,1,3,4,2,4,1,2,4,1,1,1,1,3,1,2,3,4,4,2,1,4,1,2,1,4,1,4,4,4,2,4,4,2,4,2,4,4,1,1,4,4,4,4,4
solucion20,3,4,2,2,1,2,2,3,4,3,1,1,3,1,4,3,2,2,3,1,3,4,1,1,1,1,3,1,1,2,3,3,4,2,3,2,2,3,4,1,2,2,1,4,2,2,2,3,1,1,1,1,1,3,4,4,2,1,4,1,2,4,3,4,3,1,3,4,2,3,1,1,1,2,3,3,2,4,3,2,1,3,3,3,4,3,4,3,1,2,1,3,3,2,2,3,3,1,2,3,2,4,1,2,1,1,1,4,1,2,2,1,3,4,1,1,4,1,1,1,1,3,3,4,3,2,2,3,1,3,3,3,3,4,3,4,3,3,4,4,2,3,1,1,2,4,1,2,3,3,1,3,1,3,2,1,2,1,3,3,1,3,3,2,2,2,4,3,1,2,1,2,2,3,1,3,4,2,4,3,2,1,3,4,3,3,4,2,4,4,1,2,4,1,4,4,1,3,1,1,4,3,2,2,1,2,1,4,1,2,3,2,4,2,2,1,3,4,1,2,2,1,1,1,1,3,4,1,3,2,1,3,2,1,4,1,1,2,3,2,1,4,3,3,4,1,4,4,2,2,3,1,1,4,3,3,3,3,4,2,3,4,2,1,3,3,2,4,4,2,2,1,2,3,3,2,1,3,1,3,3,2,1,3,3,1,3,1,3,3,3,3,1,1,4,3,1,4,3,3,3,4,1,3,3,2,3,1,2,3,2,4,3,2,4,1,1,2,1,2,1,3,2,3,4,2,3,3,3,2,1,3,3,4,3,3,3,4,2,1,3,1,4,4,1,1,3,3,3,3,3
solucion21,3,4,1,1,4,1,1,1,4,1,4,2,1,1,4,3,2,1,1,4,3,4,1,4,1,2,3,1,1,4,1,3,3,4,3,4,1,3,4,4,2,1,4,4,1,2,4,1,1,1,2,1,1,3,4,4,2,2,4,1,2,4,1,4,3,1,3,3,2,3,2,4,1,1,1,3,1,4,1,1,4,1,3,3,4,1,4,3,4,1,1,1,1,2,1,3,3,4,2,1,1,1,1,1,1,4,4,4,4,1,4,1,3,4,1,4,4,1,1,1,1,1,3,4,1,1,2,3,1,3,3,3,1,4,3,4,4,1,4,4,4,3,1,4,3,3,1,1,3,3,4,1,1,3,1,2,1,1,1,3,4,3,3,4,1,4,3,4,1,2,4,1,4,3,2,4,4,2,4,1,4,1,3,4,3,3,3,4,4,4,1,1,4,4,4,4,1,1,1,2,4,3,1,2,4,1,4,3,1,1,3,4,4,2,1,1,3,4,1,1,1,1,1,4,1,3,3,1,3,1,2,3,1,4,3,1,4,1,3,2,1,3,1,3,4,1,4,4,1,1,3,1,1,4,3,3,1,4,4,1,3,4,4,1,1,1,2,4,3,3,1,1,1,3,3,2,1,3,1,3,1,1,1,3,1,1,3,1,3,3,3,3,1,1,4,3,4,3,3,3,3,4,1,3,1,1,1,1,2,3,1,3,1,2,4,1,1,1,1,1,1,1,2,3,4,2,1,3,1,1,1,3,1,3,3,3,1,3,4,1,3,2,4,3,1,1,3,3,3,3,3
solucion22,1,1,2,2,3,2,2,2,3,2,4,2,2,2,3,3,2,2,2,3,3,3,2,1,2,2,3,2,2,3,2,4,1,1,1,3,2,1,3,3,2,2,3,3,2,2,1,2,2,2,2,2,2,3,3,3,2,2,3,2,2,3,2,3,1,2,3,4,2,1,2,3,2,2,2,4,2,3,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,1,3,3,2,2,2,2,2,2,2,3,3,3,3,2,3,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,3,4,2,3,1,3,3,2,1,3,3,1,2,3,3,3,2,2,3,1,3,2,2,1,2,2,2,2,2,4,3,3,4,3,2,3,3,3,2,2,3,2,3,1,2,3,3,2,3,2,3,2,3,3,3,4,1,3,3,3,2,2,3,3,3,3,2,2,2,2,3,1,2,2,3,2,3,3,2,2,1,3,3,2,2,2,1,3,2,2,2,2,2,3,2,1,4,2,3,2,2,3,2,3,4,2,3,2,3,2,2,4,2,1,3,2,3,3,2,2,1,2,2,3,3,1,2,4,3,2,4,3,3,2,2,2,2,3,3,3,2,2,2,4,3,2,2,3,2,4,2,2,2,4,2,2,4,2,3,3,1,3,2,2,3,4,4,1,4,3,1,3,2,4,2,2,2,2,2,4,2,3,2,2,3,2,2,2,2,2,2,2,2,4,3,2,2,1,2,2,2,4,2,4,4,4,2,4,3,2,4,2,4,4,2,2,4,4,3,3,4
solucion23,2,3,4,4,3,4,4,1,3,4,3,4,4,1,3,2,4,4,1,3,2,3,4,3,4,4,2,1,1,3,1,3,3,3,2,3,4,2,3,3,4,4,3,3,4,4,3,1,4,4,4,4,4,3,3,3,4,4,3,4,4,3,1,3,2,1,2,3,4,2,4,3,1,4,1,2,4,3,1,4,3,1,2,2,3,1,3,2,3,4,4,1,1,4,4,3,3,3,4,4,1,1,4,4,4,3,3,3,3,4,2,1,2,3,4,3,3,4,4,4,4,1,2,3,1,4,4,2,4,2,2,2,1,3,2,3,3,1,3,3,3,3,4,3,3,2,4,4,2,2,3,1,4,2,4,4,4,4,4,2,3,2,3,2,1,3,2,3,4,4,3,4,3,2,4,2,3,4,3,1,3,4,2,3,2,2,3,3,3,3,4,4,3,3,3,3,4,4,1,4,3,2,4,4,3,4,3,2,4,1,2,3,3,4,1,4,2,3,4,4,4,1,1,3,1,2,2,4,2,4,4,2,1,3,2,1,3,4,2,4,4,3,1,2,3,4,3,3,4,4,2,1,1,3,2,2,1,2,3,4,3,3,3,4,1,4,4,3,3,3,4,1,4,2,2,4,4,2,4,2,1,4,1,2,1,4,2,4,2,2,2,2,4,1,3,2,3,2,3,2,2,3,4,2,1,4,1,1,4,3,1,3,1,4,3,4,4,4,4,4,4,1,4,2,3,4,1,2,1,4,4,2,4,2,2,2,1,2,2,1,2,4,3,3,1,1,2,2,2,2,2
solucion24,3,2,4,4,3,4,1,1,2,1,2,4,4,1,2,2,1,4,4,2,2,2,4,2,1,4,2,4,4,2,4,2,2,2,2,2,4,2,2,3,1,1,2,2,1,4,2,1,4,4,4,4,1,2,2,2,4,4,2,1,4,2,4,2,3,4,3,2,4,3,4,2,4,1,1,2,4,2,1,1,2,4,2,3,2,4,2,2,2,1,4,1,4,1,1,2,2,2,4,1,4,1,4,4,4,2,2,2,2,1,2,4,3,2,1,2,2,4,4,4,1,4,2,2,1,1,4,3,4,2,2,2,1,2,3,2,2,1,2,2,2,2,1,2,2,3,4,1,2,2,2,1,4,2,1,4,4,4,4,2,2,2,2,2,1,2,3,3,1,4,2,1,2,2,4,3,2,4,2,1,2,4,3,2,3,3,2,2,2,2,4,1,2,2,2,2,4,4,1,4,2,2,1,4,2,1,2,3,4,4,2,2,2,4,4,4,3,2,1,4,1,4,4,2,4,2,2,4,2,1,4,3,4,2,2,4,2,1,2,4,4,2,4,3,2,1,2,2,4,4,2,4,1,2,2,3,4,3,2,1,2,2,2,4,1,1,4,2,2,2,4,4,1,2,3,1,1,2,4,2,1,1,4,3,4,4,2,4,2,2,2,3,4,4,2,3,2,2,2,2,2,2,4,2,1,1,4,4,4,2,4,2,1,1,2,4,4,4,4,4,4,4,1,2,2,4,4,3,4,1,4,2,4,2,2,2,4,2,3,1,2,1,2,2,4,4,2,2,2,2,2
solucion25,3,1,2,2,1,2,2,2,1,2,4,2,2,2,1,1,2,2,2,1,3,1,2,1,2,2,4,2,2,3,2,4,3,1,3,1,2,3,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,4,4,1,2,2,1,2,2,1,2,1,3,2,3,4,2,3,2,1,2,2,2,4,2,1,2,2,1,2,4,4,1,2,1,1,1,2,2,2,2,2,2,4,4,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,3,1,2,4,1,2,2,2,2,2,4,1,2,2,2,3,2,4,4,4,2,1,4,1,1,2,1,1,1,3,2,1,1,3,2,2,3,4,1,2,2,1,2,2,2,2,2,4,1,4,4,1,2,1,1,1,2,2,1,2,1,3,2,3,1,2,1,2,1,2,4,1,1,4,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,3,2,2,1,2,3,1,2,2,3,1,1,2,2,2,3,4,2,2,2,2,2,1,2,1,4,2,4,2,2,3,2,1,4,2,1,2,4,2,2,4,2,3,1,2,1,1,2,2,4,2,2,1,4,3,2,4,1,2,4,1,1,2,2,2,2,1,4,1,2,2,2,4,3,2,2,4,2,3,2,2,2,3,2,2,4,2,4,4,3,4,2,2,1,3,4,1,4,1,3,1,2,4,2,2,2,2,2,4,2,1,2,2,1,2,2,2,2,2,2,2,2,4,1,2,2,3,2,2,2,3,2,4,4,3,2,4,1,2,4,2,4,4,2,2,4,3,4,1,4
